"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 01 07:01:07 GMT 2025","Sat Nov 01 07:01:08 GMT 2025","1774","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sat Nov 01 07:01:01 GMT 2025","Sat Nov 01 07:01:02 GMT 2025","1735","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sat Nov 01 07:01:11 GMT 2025","Sat Nov 01 07:01:11 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Sat Nov 01 07:01:04 GMT 2025","Sat Nov 01 07:01:08 GMT 2025","3107","LMS system","Courses","Courses","","","Create course",""
"passed","Sat Nov 01 07:01:08 GMT 2025","Sat Nov 01 07:01:11 GMT 2025","3356","LMS system","Courses","Courses","","","Edit course",""
"passed","Sat Nov 01 07:00:55 GMT 2025","Sat Nov 01 07:01:00 GMT 2025","4269","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sat Nov 01 07:01:11 GMT 2025","Sat Nov 01 07:01:11 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Sat Nov 01 07:01:11 GMT 2025","Sat Nov 01 07:01:11 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Sat Nov 01 07:01:03 GMT 2025","Sat Nov 01 07:01:04 GMT 2025","1848","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sat Nov 01 07:00:55 GMT 2025","Sat Nov 01 07:00:58 GMT 2025","2380","LMS system","Authentication","Authorization","","","User login with wrong email or password: user.name@gmail.com",""
"passed","Sat Nov 01 07:01:00 GMT 2025","Sat Nov 01 07:01:02 GMT 2025","2030","LMS system","Authentication","Authorization","","","User login with wrong email or password: user.name@gmail.com",""
"passed","Sat Nov 01 07:00:58 GMT 2025","Sat Nov 01 07:01:00 GMT 2025","2005","LMS system","Authentication","Authorization","","","User login with wrong email or password:   ",""
"passed","Sat Nov 01 07:01:11 GMT 2025","Sat Nov 01 07:01:11 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sat Nov 01 07:01:11 GMT 2025","Sat Nov 01 07:01:11 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Sat Nov 01 07:01:11 GMT 2025","Sat Nov 01 07:01:11 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Sat Nov 01 07:01:09 GMT 2025","Sat Nov 01 07:01:11 GMT 2025","1964","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
